,Date,GDP Growth Rate
0,1990.0,0.7337555202121991
1,1991.0,-1.1031216621375701
2,1992.0,0.40108207619431396
3,1993.0,2.48983098546481
4,1994.0,3.84600916756006
5,1995.0,2.5316700051964705
6,1996.0,2.42854289501106
7,1997.0,4.9090257402803
8,1998.0,3.1539733752993304
9,1999.0,2.9901114449451103
10,2000.0,3.6723691050331
11,2001.0,2.07265627894577
12,2002.0,2.12322277320661
13,2003.0,3.0298899274383198
14,2004.0,2.35562976182804
15,2005.0,2.59328001020944
16,2006.0,2.58410467657816
17,2007.0,2.26948687466346
18,2008.0,-0.23963808499898698
19,2009.0,-4.247356265797079
20,2010.0,2.1314381977720402
21,2011.0,1.4575633909042
22,2012.0,1.46988752075868
23,2013.0,1.8900183424513999
24,2014.0,2.99116481375781
25,2015.0,2.62259667901294
26,2016.0,2.26346353784494
27,2017.0,2.13445309331686
28,2018.0,1.65092549602133
29,2019.0,1.67194419724758
30,2020.0,-9.69381667097939
31,,
32,,
33,,
34,,
35,,
