ref_area,indicator,source,sex,classif1,time,obs_value,obs_status
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2006,55.15,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2007,61.94,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2007,69.32,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2007,54.97,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2008,62.21,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2008,69.52,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2008,55.3,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2009,62.05,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2009,68.93,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2009,55.53,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2010,61.87,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2010,68.58,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2010,55.5,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2011,61.79,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2011,68.33,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2011,55.58,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2012,62.04,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2012,68.54,A
