ref_area,indicator,source,sex,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
AGO,EAP_DWAP_SEX_AGE_MTS_RT,AA:835,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2014,26.69,,,,R1:3513
AGO,EAP_DWAP_SEX_AGE_MTS_RT,AA:835,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2014,44.66,,,,R1:3513
AGO,EAP_DWAP_SEX_AGE_MTS_RT,AA:835,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_UNION,2014,43.15,,,,R1:3513
AGO,EAP_DWAP_SEX_AGE_MTS_RT,AA:835,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2014,43.67,,,,R1:3513
AGO,EAP_DWAP_SEX_AGE_MTS_RT,AA:835,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2014,48.59,,,,R1:3513
AGO,EAP_DWAP_SEX_AGE_MTS_RT,AA:835,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_X,2014,,U,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2007,36.73,B,,I11:264,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2007,28.94,B,,I11:264,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2007,43.03,B,,I11:264,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2007,12.67,B,,I11:264,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2007,48.81,B,,I11:264,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2008,45.66,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2008,34.52,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2008,54.09,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2008,13.26,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2008,55.68,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2009,46.13,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2009,36.38,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2009,54.03,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2009,18.34,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2009,62.86,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2010,46.86,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2010,34.84,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2010,55.44,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2010,20.85,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2010,62.9,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2011,52.49,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2011,41.74,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2011,61.35,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2011,19.99,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2011,64.79,,,,R1:3513
